Sample Time,xECG,ivECG,Error,Error Description,User State,User CM Marker,xECG_filtered,ivECG_filtered
0.0,10.703136,-68.028096,NA,NA,,NA,,
0.004,10.677936,-68.388192,NA,NA,,NA,,
0.008,10.729392,-68.406528,NA,NA,,NA,,
0.012,10.781712,-68.028192,NA,NA,,NA,,
0.016,10.753536,-67.921344,NA,NA,,NA,,
0.02,10.692240,-68.299344,NA,NA,,NA,,
0.024,10.676640,-68.466768,NA,NA,,NA,,
0.028,10.662480,-68.196384,NA,NA,,NA,,
0.032,10.614000,-68.030160,NA,NA,,NA,,
0.036,10.539168,-68.371536,NA,NA,,NA,,
0.04,10.501344,-68.650176,NA,NA,,NA,,
0.044,10.506432,-68.407536,NA,NA,,NA,,
0.048,10.483536,-68.137680,NA,NA,,NA,,
0.052,10.417488,-68.410368,NA,NA,,NA,,
0.056,10.370208,-68.761344,NA,NA,,NA,,
0.06,10.388640,-68.554848,NA,NA,,NA,,
0.064,10.397712,-68.219808,NA,NA,,NA,,
0.068,10.363920,-68.371440,NA,NA,,NA,,
0.072,10.344096,-68.733984,NA,NA,,NA,,
0.076,10.386768,-68.601024,NA,NA,,NA,,
0.08,10.433472,-68.220672,NA,NA,,NA,,
0.084,10.400016,-68.303712,NA,NA,,NA,,
0.088,10.340256,-68.702160,NA,NA,,NA,,
0.092,10.369920,-68.659968,NA,NA,,NA,,
0.096,10.405392,-68.318640,NA,NA,,NA,,
0.1,10.370736,-68.300160,NA,NA,,NA,,
0.104,10.326240,-68.684640,NA,NA,,NA,,
0.108,10.388496,-68.701872,NA,NA,,NA,,
0.112,10.431456,-68.337600,NA,NA,,NA,,
0.116,10.407408,-68.228064,NA,NA,,NA,,
0.12,10.391856,-68.572944,NA,NA,,NA,,
0.124,10.403712,-68.736816,NA,NA,,NA,,
0.128,10.433856,-68.431296,NA,NA,,NA,,
0.132,10.433424,-68.204688,NA,NA,,NA,,
0.136,10.371696,-68.543280,NA,NA,,NA,,
0.14,10.372704,-68.798544,NA,NA,,NA,,
0.144,10.413600,-68.537568,NA,NA,,NA,,
0.148,10.453920,-68.211600,NA,NA,,NA,,
0.152,10.446816,-68.441280,NA,NA,,NA,,
0.156,10.431312,-68.780112,NA,NA,,NA,,
0.16,10.463184,-68.577840,NA,NA,,NA,,
0.164,10.499328,-68.194320,NA,NA,,NA,,
0.168,10.458288,-68.377440,NA,NA,,NA,,
0.172,10.416672,-68.774640,NA,NA,,NA,,
0.176,10.437360,-68.643072,NA,NA,,NA,,
0.18,10.502496,-68.202960,NA,NA,,NA,,
0.184,10.464384,-68.304912,NA,NA,,NA,,
0.188,10.432032,-68.722272,NA,NA,,NA,,
0.192,10.464480,-68.660064,NA,NA,,NA,,
0.196,10.510512,-68.231712,NA,NA,,NA,,
0.2,10.492896,-68.227248,NA,NA,,NA,,
0.204,10.454976,-68.629488,NA,NA,,NA,,
0.208,10.491504,-68.653968,NA,NA,,NA,,
0.212,10.532880,-68.299776,NA,NA,,NA,,
0.216,10.500432,-68.210160,NA,NA,,NA,,
0.22,10.465296,-68.556192,NA,NA,,NA,,
0.224,10.482960,-68.691696,NA,NA,,NA,,
0.228,10.546848,-68.344992,NA,NA,,NA,,
0.232,10.566912,-68.115936,NA,NA,,NA,,
0.236,10.571040,-68.373456,NA,NA,,NA,,
0.24,10.587600,-68.581056,NA,NA,,NA,,
0.244,10.628352,-68.294688,NA,NA,,NA,,
0.248,10.637760,-68.001168,NA,NA,,NA,,
0.252,10.616016,-68.215776,NA,NA,,NA,,
0.256,10.598784,-68.520048,NA,NA,,NA,,
0.26,10.651968,-68.288400,NA,NA,,NA,,
0.264,10.692000,-67.921536,NA,NA,,NA,,
0.268,10.676304,-68.062464,NA,NA,,NA,,
0.272,10.677360,-68.383536,NA,NA,,NA,,
0.276,10.746960,-68.212224,NA,NA,,NA,,
0.28,10.770336,-67.823520,NA,NA,,NA,,
0.284,10.686768,-67.937616,NA,NA,,NA,,
0.288,10.594704,-68.365440,NA,NA,,NA,,
0.292,10.645680,-68.315232,NA,NA,,NA,,
0.296,10.647216,-67.960800,NA,NA,,NA,,
0.3,10.576416,-67.966608,NA,NA,,NA,,
0.304,10.525152,-68.390832,NA,NA,,NA,,
0.308,10.537488,-68.447760,NA,NA,,NA,,
0.312,10.586784,-68.072832,NA,NA,,NA,,
0.316,10.537248,-67.966176,NA,NA,,NA,,
0.32,10.485984,-68.331360,NA,NA,,NA,,
0.324,10.518912,-68.448912,NA,NA,,NA,,
0.328,10.544400,-68.128512,NA,NA,,NA,,
0.332,10.528896,-67.924080,NA,NA,,NA,,
0.336,10.497840,-68.216064,NA,NA,,NA,,
0.34,10.499472,-68.457936,NA,NA,,NA,,
0.344,10.546032,-68.166480,NA,NA,,NA,,
0.348,10.553376,-67.843776,NA,NA,,NA,,
0.352,10.489440,-68.106768,NA,NA,,NA,,
0.356,10.407840,-68.498928,NA,NA,,NA,,
0.36,10.395552,-68.328432,NA,NA,,NA,,
0.364,10.490064,-67.880064,NA,NA,,NA,,
0.368,10.633584,-67.860144,NA,NA,,NA,,
0.372,10.938000,-67.900128,NA,NA,,NA,,
0.376,11.408352,-67.307184,NA,NA,,NA,,
0.38,11.868672,-66.492912,NA,NA,,NA,,
0.384,12.048864,-66.392256,NA,NA,,NA,,
0.388,12.034560,-66.766848,NA,NA,,NA,,
0.392,11.993904,-66.767520,NA,NA,,NA,,
0.396,11.791440,-66.614208,NA,NA,,NA,,
0.4,11.452320,-66.941712,NA,NA,,NA,,
0.404,11.006976,-67.753920,NA,NA,,NA,,
0.408,10.712880,-68.086272,NA,NA,,NA,,
0.412,10.637088,-67.795680,NA,NA,,NA,,
0.416,10.587648,-67.719312,NA,NA,,NA,,
0.42,10.572288,-68.067552,NA,NA,,NA,,
0.424,10.597536,-68.182416,NA,NA,,NA,,
0.428,10.630368,-67.853856,NA,NA,,NA,,
0.432,10.600704,-67.692480,NA,NA,,NA,,
0.436,10.539408,-68.031792,NA,NA,,NA,,
0.44,10.523088,-68.263728,NA,NA,,NA,,
0.444,10.534896,-68.004384,NA,NA,,NA,,
0.448,10.553856,-67.713840,NA,NA,,NA,,
0.452,10.534032,-67.957872,NA,NA,,NA,,
0.456,10.519488,-68.256336,NA,NA,,NA,,
0.46,10.540032,-68.046192,NA,NA,,NA,,
0.464,10.569072,-67.724736,NA,NA,,NA,,
0.468,10.531344,-67.901616,NA,NA,,NA,,
0.472,10.512096,-68.258256,NA,NA,,NA,,
0.476,10.553808,-68.107824,NA,NA,,NA,,
0.48,10.575696,-67.734864,NA,NA,,NA,,
0.484,10.557456,-67.834848,NA,NA,,NA,,
0.488,10.546656,-68.218896,NA,NA,,NA,,
0.492,10.580640,-68.136672,NA,NA,,NA,,
0.496,10.614576,-67.768128,NA,NA,,NA,,
0.5,10.595088,-67.768944,NA,NA,,NA,,
0.504,10.550304,-68.151456,NA,NA,,NA,,
0.508,10.589328,-68.165568,NA,NA,,NA,,
0.512,10.631568,-67.802976,NA,NA,,NA,,
0.516,10.601568,-67.699728,NA,NA,,NA,,
0.52,10.555296,-68.053104,NA,NA,,NA,,
0.524,10.602480,-68.184864,NA,NA,,NA,,
0.528,10.669008,-67.842528,NA,NA,,NA,,
0.532,10.694016,-67.621824,NA,NA,,NA,,
0.536,10.656096,-67.927968,NA,NA,,NA,,
0.54,10.674192,-68.149872,NA,NA,,NA,,
0.544,10.730736,-67.850592,NA,NA,,NA,,
0.548,10.753776,-67.532880,NA,NA,,NA,,
0.552,10.736544,-67.782240,NA,NA,,NA,,
0.556,10.762032,-68.072496,NA,NA,,NA,,
0.56,10.841136,-67.808976,NA,NA,,NA,,
0.564,10.880784,-67.424112,NA,NA,,NA,,
0.568,10.868496,-67.596912,NA,NA,,NA,,
0.572,10.882800,-67.949280,NA,NA,,NA,,
0.576,10.969056,-67.757232,NA,NA,,NA,,
0.58,11.012544,-67.359312,NA,NA,,NA,,
0.584,10.984320,-67.461600,NA,NA,,NA,,
0.588,10.951632,-67.858752,NA,NA,,NA,,
0.592,10.988640,-67.798944,NA,NA,,NA,,
0.596,11.016576,-67.398336,NA,NA,,NA,,
0.6,10.957920,-67.442208,NA,NA,,NA,,
0.604,10.897776,-67.878720,NA,NA,,NA,,
0.608,10.893264,-67.920720,NA,NA,,NA,,
0.612,10.899456,-67.593696,NA,NA,,NA,,
0.616,10.823376,-67.571808,NA,NA,,NA,,
0.62,10.737840,-67.980096,NA,NA,,NA,,
0.624,10.715088,-68.135136,NA,NA,,NA,,
0.628,10.694352,-67.841424,NA,NA,,NA,,
